Jornada;Noticia_ID;Noticia
19;19-4;El Celta de Vigo confirma la renovación de dos jugadores clave
19;19-5;El FC Barcelona se consagra campeón en una temporada histórica
19;19-6;El FC Barcelona asegura su clasificación para competiciones europeas
19;19-7;El Real Madrid se enfrenta a nuevos desafíos en la recta final de la temporada
20;20-1;El Real Madrid se lleva la última jornada con una victoria clara sobre el Cádiz
20;20-2;El Real Madrid se prepara para una serie de partidos clave contra equipos directos
20;20-3;El Getafe sigue en la lucha para mantenerse en Primera División
20;20-4;El Real Madrid recupera a su estrella para el próximo clásico contra el Barça
20;20-5;El Celta de Vigo confirma la renovación de dos jugadores clave
20;20-6;El Real Madrid sigue reforzando su plantilla para la próxima temporada
20;20-7;El Real Betis vence por 3-1 al Espanyol con un buen despliegue de juego
21;21-1;El Girona alcanza su mejor posición en la tabla con una victoria clave
21;21-2;El Real Madrid buscará mantener su racha de victorias tras vencer al Almería
21;21-3;El Real Madrid se prepara para una serie de partidos clave contra equipos directos
21;21-4;El Celta de Vigo confirma la renovación de dos jugadores clave
21;21-5;El FC Barcelona pierde por lesión a un jugador clave para el próximo partido
21;21-6;El Real Madrid se lleva la última jornada con una victoria clara sobre el Cádiz
21;21-7;El Villarreal vence al Alavés con un partido destacado
22;22-1;El Real Madrid logra la primera victoria en casa tras vencer al Real Valladolid
22;22-2;El Villarreal sorprende al líder con una victoria fuera de casa
22;22-3;El Celta de Vigo vence al Real Valladolid en una actuación memorable
22;22-4;El FC Barcelona celebra su racha de victorias en la liga española
22;22-5;El Athletic Club se lleva el derbi vasco ante la Real Sociedad
22;22-6;El Osasuna sigue sorprendiendo en casa con victorias importantes
22;22-7;El Real Betis se prepara para el derbi de la temporada contra el Sevilla
23;23-1;El Real Madrid se prepara para una serie de partidos clave contra equipos directos
23;23-2;El Real Madrid mantiene su posición como uno de los favoritos para la Champions
23;23-3;El Sevilla CF enfrenta nuevos fichajes para mantener su estabilidad
23;23-4;El Girona alcanza su mejor posición en la tabla con una victoria clave
23;23-5;El FC Barcelona reestructura su plantilla para enfrentar la siguiente temporada
23;23-6;El Granada ficha un delantero de alto nivel para reforzar la delantera
23;23-7;El Real Madrid se prepara para una serie de partidos clave contra equipos directos
24;24-1;El Real Betis ficha a un mediocampista estrella para reforzar su plantilla
24;24-2;El Getafe remonta un marcador adverso y gana 2-1 contra el Mallorca
24;24-3;El Real Madrid mantiene su posición como uno de los favoritos para la Champions
24;24-4;El Real Madrid sigue reforzando su plantilla para la próxima temporada
24;24-5;El Getafe sigue en la lucha para mantenerse en Primera División
24;24-6;El Valencia busca mantener su racha positiva tras vencer al Real Sociedad
24;24-7;El Real Sociedad toma una importante ventaja tras vencer al Valencia en casa
25;25-1;El Girona alcanza su mejor posición en la tabla con una victoria clave
25;25-2;El Real Betis mejora su rendimiento con un cambio de estrategia
25;25-3;El Almería empata contra el Real Madrid en un partido emocionante
25;25-4;El FC Barcelona derrota al Atlético de Madrid en un partido épico
25;25-5;El FC Barcelona reestructura su plantilla para enfrentar la siguiente temporada
25;25-6;El Deportivo Alavés tiene un final de temporada prometedor
25;25-7;El Real Madrid buscará mantener su racha de victorias tras vencer al Almería
26;26-1;El Sevilla CF enfrenta nuevos fichajes para mantener su estabilidad
26;26-2;El FC Barcelona celebra su racha de victorias en la liga española
26;26-3;El Barcelona registra su mejor victoria de la temporada contra el Villarreal
26;26-4;El Osasuna está imparable en casa contra rivales complicados
26;26-5;El Real Madrid mantiene su posición como uno de los favoritos para la Champions
26;26-6;El Celta de Vigo confirma la renovación de dos jugadores clave
26;26-7;El Girona alcanza su mejor posición en la tabla con una victoria clave
27;27-1;El Sevilla CF se impone 2-0 en el derbi contra el Betis
27;27-2;El Atlético de Madrid cierra la temporada con una victoria sólida en casa
27;27-3;El Atlético de Madrid y el Sevilla aseguran su posición en la tabla con victorias recientes
27;27-4;El Real Sociedad sigue siendo uno de los equipos más fuertes en casa
27;27-5;El Girona alcanza su mejor posición en la tabla con una victoria clave
27;27-6;El Almería empata contra el Real Madrid en un partido emocionante
27;27-7;El Valencia renueva a su estrella para asegurar el futuro del club
28;28-1;El Real Madrid ficha a una estrella brasileña para reforzar la delantera
28;28-2;El Osasuna consigue una victoria importante contra el Getafe
28;28-3;El Villarreal sorprende al líder con una victoria fuera de casa
28;28-4;El Villarreal sorprende al líder con una victoria fuera de casa
28;28-5;El FC Barcelona reestructura su plantilla para enfrentar la siguiente temporada
28;28-6;El Osasuna sigue sorprendiendo en casa con victorias importantes
28;28-7;El Osasuna y el Elche CF protagonizan un partido con intensidad y goles
29;29-1;El Villarreal logra una victoria inesperada contra el líder de la tabla
29;29-2;El Sevilla refuerza su defensa con una firma internacional
29;29-3;El Villarreal logra una victoria inesperada contra el líder de la tabla
29;29-4;El Valencia renueva a su estrella para asegurar el futuro del club
29;29-5;El Real Betis vence por 3-1 al Espanyol con un buen despliegue de juego
29;29-6;El Atlético de Madrid confirma el regreso de su delantero estrella para la segunda vuelta
29;29-7;El Real Betis se prepara para el derbi de la temporada contra el Sevilla
30;30-1;El Sevilla CF se impone 2-0 en el derbi contra el Betis
30;30-2;El FC Barcelona se lleva la victoria ante el Cádiz con un gol en el último minuto
30;30-3;El Getafe remonta un marcador adverso y gana 2-1 contra el Mallorca
30;30-4;El Real Sociedad toma una importante ventaja tras vencer al Valencia en casa
30;30-5;El Real Sociedad toma una importante ventaja tras vencer al Valencia en casa
30;30-6;El Sevilla CF enfrenta nuevos fichajes para mantener su estabilidad
30;30-7;El Real Madrid sigue reforzando su plantilla para la próxima temporada
31;31-1;El Real Betis se prepara para el derbi de la temporada contra el Sevilla
31;31-2;El Real Sociedad sigue siendo uno de los equipos más fuertes en casa
31;31-3;El Atlético de Madrid lucha por subir posiciones tras una victoria clave
31;31-4;El Celta de Vigo vence al Real Valladolid en una actuación memorable
31;31-5;El Real Madrid mantiene su posición como uno de los favoritos para la Champions
31;31-6;El Villarreal logra una victoria inesperada contra el líder de la tabla
31;31-7;El FC Barcelona pierde por lesión a un jugador clave para el próximo partido
32;32-1;El Villarreal vence al Alavés con un partido destacado
32;32-2;El Granada ficha un delantero de alto nivel para reforzar la delantera
32;32-3;El Sevilla refuerza su defensa con una firma internacional
32;32-4;El FC Barcelona asegura su clasificación para competiciones europeas
32;32-5;El Granada ficha un delantero de alto nivel para reforzar la delantera
32;32-6;El Getafe remonta un marcador adverso y gana 2-1 contra el Mallorca
32;32-7;El Valencia y el Real Betis se enfrentan en un emocionante partido de despedida
33;33-1;El Atlético de Madrid y el Sevilla aseguran su posición en la tabla con victorias recientes
33;33-2;El Sevilla CF se impone 2-0 en el derbi contra el Betis
33;33-3;El Getafe sigue en la lucha para mantenerse en Primera División
33;33-4;El FC Barcelona reestructura su plantilla para enfrentar la siguiente temporada
33;33-5;El Osasuna está imparable en casa contra rivales complicados
33;33-6;La FIFA advierte sobre los cambios en las próximas fechas de la Liga Española
33;33-7;El Real Madrid mantiene su posición como uno de los favoritos para la Champions
34;34-1;El Atlético de Madrid y el Sevilla aseguran su posición en la tabla con victorias recientes
34;34-2;El Osasuna consigue una victoria importante contra el Getafe
34;34-3;El Real Sociedad toma una importante ventaja tras vencer al Valencia en casa
34;34-4;El Osasuna y el Elche CF protagonizan un partido con intensidad y goles
34;34-5;El Real Madrid mantiene su posición como uno de los favoritos para la Champions
34;34-6;El Real Betis vence por 3-1 al Espanyol con un buen despliegue de juego
34;34-7;El Real Madrid recupera a su estrella para el próximo clásico contra el Barça
35;35-1;El FC Barcelona derrota al Atlético de Madrid en un partido épico
35;35-2;El FC Barcelona pierde por lesión a un jugador clave para el próximo partido
35;35-3;El FC Barcelona busca consolidar su liderazgo en el mercado de fichajes
35;35-4;El Real Madrid consolida su defensa con fichajes para el futuro
35;35-5;El Celta de Vigo confirma la renovación de dos jugadores clave
35;35-6;El Getafe remonta un marcador adverso y gana 2-1 contra el Mallorca
35;35-7;El Real Madrid se enfrenta a nuevos desafíos en la recta final de la temporada
36;36-1;El Real Madrid mantiene su posición como uno de los favoritos para la Champions
36;36-2;El Real Madrid ficha a una estrella brasileña para reforzar la delantera
36;36-3;El Getafe remonta un marcador adverso y gana 2-1 contra el Mallorca
36;36-4;El FC Barcelona celebra su racha de victorias en la liga española
36;36-5;El FC Barcelona asegura su clasificación para competiciones europeas
36;36-6;El Real Madrid se enfrenta a nuevos desafíos en la recta final de la temporada
36;36-7;El Real Betis vence por 3-1 al Espanyol con un buen despliegue de juego
37;37-1;El Real Madrid se enfrenta a nuevos desafíos en la recta final de la temporada
37;37-2;El Sevilla CF enfrenta nuevos fichajes para mantener su estabilidad
37;37-3;El Celta de Vigo empata en los últimos minutos contra el Getafe
37;37-4;La FIFA advierte sobre los cambios en las próximas fechas de la Liga Española
37;37-5;El Real Sociedad celebra su clasificación a torneos internacionales con un triunfo
37;37-6;El FC Barcelona se lleva la victoria ante el Cádiz con un gol en el último minuto
37;37-7;El Girona alcanza su mejor posición en la tabla con una victoria clave
38;38-1;El Osasuna y el Elche CF protagonizan un partido con intensidad y goles
38;38-2;El FC Barcelona se consagra campeón en una temporada histórica
38;38-3;El Osasuna anuncia la renovación de su entrenador hasta 2025
38;38-4;El FC Barcelona se lleva la victoria ante el Cádiz con un gol en el último minuto
38;38-5;El Celta de Vigo gana confianza tras importantes victorias recientes
38;38-6;El FC Barcelona pierde por lesión a un jugador clave para el próximo partido
38;38-7;El Valencia está optimista con los últimos resultados de la temporada
Jornada 1;Unai;El Athletic Club arrasa a la Real Sociedad con un contundente 4-0.
1;Unai;Nico Williams renueva con el Athletic Club hasta 2030.
1;Unai;Confirmado el traspado de Iñigo Martinez a la Real Sociedad por 15 millones de euros. Vuelve a su casa el central de Ondarroa.
5;Unai;El Getafe entra en una mala racha.
